id,state,state_abb,state_id,county,county_id,operator,ref,name,sqft,lon,lat,type,company
694493125,Washington,WA,53,Grant County,25,Microsoft,,Microsoft,112036.0,-119.88757256028282,47.23765678799786,building,microsoft
694493126,Washington,WA,53,Grant County,25,Microsoft,,Microsoft,116001.0,-119.88319809847748,47.23762824027307,building,microsoft
694493127,Washington,WA,53,Grant County,25,Microsoft,,Microsoft,157191.0,-119.88329009579328,47.23672160801631,building,microsoft
694493128,Washington,WA,53,Grant County,25,Microsoft,,Microsoft,162608.0,-119.88747588150468,47.236737102694434,building,microsoft
697020849,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD58,Amazon IAD58,136770.0,-77.44184182852638,38.986278739590496,building,amazon
697020850,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD57,Amazon IAD57,116533.0,-77.44263838662451,38.98699723329166,building,amazon
697021948,Virginia,VA,51,Prince William County,153,Amazon Web Services,IAD64,Amazon IAD64,147547.0,-77.65291934437082,38.81513240657421,building,amazon
697021949,Virginia,VA,51,Prince William County,153,Amazon,,,1278242.0,-77.65269565653946,38.81581597741176,campus,amazon
697413741,Oregon,OR,41,Umatilla County,59,Amazon Web Services,PDX57/60,Amazon PDX57/60,271590.0,-119.26771376022246,45.913883188873065,building,amazon
697415321,Oregon,OR,41,Morrow County,49,Amazon Web Services,PDX55,Amazon Web Services us-west-2,123601.0,-119.65544902618971,45.84117425838994,building,amazon
697415323,Oregon,OR,41,Morrow County,49,Amazon Web Services,PDX56/59,Amazon Web Services us-west-2,263671.0,-119.6300360999594,45.853786061670256,building,amazon
697417726,Oregon,OR,41,Morrow County,49,Amazon Web Services,PDX62,Amazon Web Services us-west-2,211981.0,-119.60370922412667,45.84665532541318,building,amazon
700001774,Washington,WA,53,Grant County,25,Microsoft,,Microsoft MWH Data Center,8381014.0,-119.88771018102906,47.23776925865819,campus,microsoft
700431553,Oregon,OR,41,Wasco County,65,Google,,Google Taylor Lake Data Center,1100932.0,-121.20240398131143,45.63852891759573,campus,google
701924667,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD90,Amazon IAD90,147749.0,-77.41165153795028,38.988603084770965,building,amazon
701924668,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD91,Amazon IAD91,149486.0,-77.4111191682655,38.98784716047373,building,amazon
701924669,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD92,Amazon IAD92,149857.0,-77.41047540861862,38.98694260549739,building,amazon
701929066,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD144,Amazon IAD144,150384.0,-77.42742182982602,38.981642917536455,building,amazon
701930920,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD98,Amazon IAD98,150826.0,-77.43388565556346,39.02022492908554,building,amazon
701930921,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD99,Amazon IAD99,150804.0,-77.43402989103284,39.01916893584491,building,amazon
701930929,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD114,Amazon IAD114,148005.0,-77.45069857065232,39.03549407754049,building,amazon
701930930,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD115,Amazon IAD115,146333.0,-77.44979480828684,39.03629402145032,building,amazon
701931819,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD65,Amazon IAD65,151356.0,-77.49436645394151,38.917010722177295,building,amazon
701931820,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD150,Amazon IAD150,213595.0,-77.47725088518797,38.91607635389445,building,amazon
706726088,Virginia,VA,51,Loudoun County,107,Google,,Stonewall Creek Business Park,1291753.0,-77.53939966702264,39.05143172924,campus,google
706776322,Oregon,OR,41,Umatilla County,59,Amazon Web Services,PDX80,Amazon PDX80,215703.0,-119.36661621765712,45.79780879526037,building,amazon
708931343,Tennessee,TN,47,Montgomery County,125,Google LLC,,Google Montgomery Data Center,26612163.0,-87.2600112195247,36.62857603307224,campus,google
710070925,Virginia,VA,51,Loudoun County,107,Google,,Google Data Center,140634.0,-77.53957659001316,39.05264058118304,building,google
714622339,Virginia,VA,51,Loudoun County,107,Google,,Google Data Center,2143143.0,-77.52625036711285,38.94277143488421,campus,google
714889192,Alabama,AL,1,Jackson County,71,Google LLC,,Google Jackson County Data Center,7582142.0,-85.74826082398661,34.914333709146234,campus,google
714941629,Nebraska,NE,31,Sarpy County,153,Meta,,Sarpy Meta Data Center,5922319.0,-96.14372146857282,41.121753730397295,campus,meta
744491691,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD145,Amazon IAD145,103663.0,-77.4246254873571,38.98255213281915,building,amazon
744496741,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD117,Amazon Web Services IAD117,102452.0,-77.41909467085335,39.02369830815542,building,amazon
744496750,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD116,Amazon Web Services IAD116,102629.0,-77.42043928426207,39.02434599828099,building,amazon
756778306,New Mexico,NM,35,Valencia County,61,Meta,2,Meta,543736.0,-106.78034710972685,34.83004000903251,building,meta
762116506,Virginia,VA,51,Henrico County,87,Meta,,Meta Henrico Data Center,588189.0,-77.23731114669016,37.483928208517945,building,meta
777679751,New Mexico,NM,35,Valencia County,61,Meta,1,Meta,654617.0,-106.77647063706308,34.83028297052059,building,meta
788027103,Iowa,IA,19,Polk County,153,Meta,,Facebook Altoona Data Center 4,606958.0,-93.5163985612244,41.66773731235317,building,meta
793087859,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD118,Amazon IAD118,105629.0,-77.43883923491136,39.01850733590168,building,amazon
794147657,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD146,Amazon IAD146,103076.0,-77.43559835674785,38.9967245725433,building,amazon
795384117,Arizona,AZ,4,Maricopa County,13,Microsoft,PHX-10,PHX-10,246184.0,-112.36482981743816,33.40794624396243,building,microsoft
795853621,Nebraska,NE,31,Sarpy County,153,Meta,,Sarpy Meta Data Center,6242843.0,-96.13364372425686,41.12194722186616,campus,meta
802160675,Ohio,OH,39,Licking County,89,Meta,,Meta New Albany Data Center,663286.0,-82.74890966242867,40.06527171787832,building,meta
815057182,Texas,TX,48,Tarrant County,439,Meta,,Facebook Fort Worth Datacenter,753193.0,-97.2554600255551,32.98829583281708,building,meta
817338831,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD140,Amazon IAD140,215095.0,-77.4175500441367,38.98145515417609,building,amazon
817338832,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD141,Amazon IAD141,216850.0,-77.4167856863848,38.98238771254631,building,amazon
821081357,Ohio,OH,39,Franklin County,49,Amazon Web Services,,Amazon Web Services,151703.0,-83.1996986090437,40.10257307151942,building,amazon
821081358,Ohio,OH,39,Franklin County,49,Amazon Web Services,,Amazon Web Services,159123.0,-83.1997637520824,40.10358662896317,building,amazon
