string_id,gid_1,gid_0,name_0,name_1,area_km2,bws_raw,bws_score,bws_cat,bws_label
712294-USA.35_1-1009,USA.35_1,USA,United States,North Dakota,4252.83513823,0.1303162834491927,1.382017364670692,1.0,Low - Medium (10-20%)
712295-USA.35_1-1009,USA.35_1,USA,United States,North Dakota,176.419784982,0.0014425060070402,0.0,0.0,Low (<10%)
712296-USA.35_1-1009,USA.35_1,USA,United States,North Dakota,4161.96894858,0.5300848048937842,3.4062231857369247,3.0,High (40-80%)
712297-USA.35_1-1009,USA.35_1,USA,United States,North Dakota,8335.54998659,0.2234468775533527,2.1599318846534064,2.0,Medium - High (20-40%)
712297-USA.35_1-1048,USA.35_1,USA,United States,North Dakota,312.76809557,0.2234468775533527,2.1599318846534064,2.0,Medium - High (20-40%)
712299-USA.35_1-1009,USA.35_1,USA,United States,North Dakota,31.3595456327,9999.0,5.0,4.0,Extremely High (>80%)
712299-USA.35_1-1048,USA.35_1,USA,United States,North Dakota,2403.67280222,9999.0,5.0,4.0,Extremely High (>80%)
712800-USA.27_1-1122,USA.27_1,USA,United States,Montana,94.0793994004,0.4658014964558123,3.2197152744262185,3.0,High (40-80%)
712800-USA.27_1-1153,USA.27_1,USA,United States,Montana,987.5458086,0.4658014964558123,3.2197152744262185,3.0,High (40-80%)
712800-USA.27_1-725,USA.27_1,USA,United States,Montana,689.094560149,0.4658014964558123,3.2197152744262185,3.0,High (40-80%)
725100-USA.20_1-1158,USA.20_1,USA,United States,Maine,34.5561164538,0.0083202403263251,0.0,0.0,Low (<10%)
725304-USA.20_1-1158,USA.20_1,USA,United States,Maine,3.83112989632,0.1032326380253721,1.045899165267922,1.0,Low - Medium (10-20%)
725304-USA.30_1-1158,USA.30_1,USA,United States,New Hampshire,10.537041706,0.1032326380253721,1.045899165267922,1.0,Low - Medium (10-20%)
725304-USA.46_1-1158,USA.46_1,USA,United States,Vermont,1548.10822828,0.1032326380253721,1.045899165267922,1.0,Low - Medium (10-20%)
725306-USA.33_1-1158,USA.33_1,USA,United States,New York,6976.89913085,0.0024206981217561,0.0,0.0,Low (<10%)
725306-USA.33_1-1216,USA.33_1,USA,United States,New York,749.27281967,0.0024206981217561,0.0,0.0,Low (<10%)
725306-USA.46_1-1158,USA.46_1,USA,United States,Vermont,12033.6195404,0.0024206981217561,0.0,0.0,Low (<10%)
725309-USA.33_1-1158,USA.33_1,USA,United States,New York,208.523855241,0.0057598689494047,0.0,0.0,Low (<10%)
725309-USA.33_1-1216,USA.33_1,USA,United States,New York,845.78134781,0.0057598689494047,0.0,0.0,Low (<10%)
725510-USA.33_1-1158,USA.33_1,USA,United States,New York,10170.1400426,0.0149592335259892,0.0,0.0,Low (<10%)
725510-USA.33_1-1216,USA.33_1,USA,United States,New York,3482.40961384,0.0149592335259892,0.0,0.0,Low (<10%)
725520-USA.33_1-1216,USA.33_1,USA,United States,New York,8.62707756266,0.0013757652970338,0.0,0.0,Low (<10%)
725530-USA.33_1-1158,USA.33_1,USA,United States,New York,9606.98642325,0.0557566019968334,0.1572145460948789,0.0,Low (<10%)
725530-USA.33_1-1216,USA.33_1,USA,United States,New York,275.055926013,0.0557566019968334,0.1572145460948789,0.0,Low (<10%)
725540-USA.33_1-1158,USA.33_1,USA,United States,New York,13679.9875834,0.0016989416652307,0.0,0.0,Low (<10%)
725540-USA.33_1-1216,USA.33_1,USA,United States,New York,27.9454672797,0.0016989416652307,0.0,0.0,Low (<10%)
725551-USA.33_1-1158,USA.33_1,USA,United States,New York,4766.95889033,0.0039155626267147,0.0,0.0,Low (<10%)
725551-USA.33_1-1216,USA.33_1,USA,United States,New York,114.355043079,0.0039155626267147,0.0,0.0,Low (<10%)
725552-USA.33_1-1158,USA.33_1,USA,United States,New York,6624.82734309,0.0011656292730649,0.0,0.0,Low (<10%)
725552-USA.33_1-1216,USA.33_1,USA,United States,New York,17.9044753164,0.0011656292730649,0.0,0.0,Low (<10%)
725552-USA.39_1-1158,USA.39_1,USA,United States,Pennsylvania,131.127678325,0.0011656292730649,0.0,0.0,Low (<10%)
725552-USA.39_1-1216,USA.39_1,USA,United States,Pennsylvania,113.531100536,0.0011656292730649,0.0,0.0,Low (<10%)
725553-USA.33_1-1158,USA.33_1,USA,United States,New York,4346.07414983,0.5281486948949898,3.400944162891712,3.0,High (40-80%)
725553-USA.33_1-1216,USA.33_1,USA,United States,New York,1742.08081515,0.5281486948949898,3.400944162891712,3.0,High (40-80%)
